poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct,new_poll_id
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,,,,,,195455,1415,rv,,rv,,3/27/24 12:17,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,43.0,865580
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,,,,,,195455,1415,rv,,rv,,3/27/24 12:17,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,44.0,865580
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,,,,,,195455,1415,rv,,rv,,3/27/24 12:17,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,IND,Kennedy,31042,Robert F. Kennedy,3.0,865580
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,,,,,,195455,1415,rv,,rv,,3/27/24 12:17,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,IND,West,31097,Cornel West,0.0,865580
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,,,,,,195455,1415,rv,,rv,,3/27/24 12:17,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,GRE,Stein,31116,Jill Stein,1.0,865580
86562,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,3/25/24,3/25/24,,,,,,,195738,1010,rv,,rv,,3/28/24 15:15,,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-3.25.2024-1.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,50.0,865620
86562,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,3/25/24,3/25/24,,,,,,,195738,1010,rv,,rv,,3/28/24 15:15,,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-3.25.2024-1.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,50.0,865620
86562,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,3/25/24,3/25/24,,,,,,,195739,1010,rv,,rv,,3/28/24 15:15,,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-3.25.2024-1.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,40.0,865621
86562,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,3/25/24,3/25/24,,,,,,,195739,1010,rv,,rv,,3/28/24 15:15,,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-3.25.2024-1.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,42.0,865621
86562,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.6,-0.1,Online Panel,6.0,,3/25/24,3/25/24,,,,,,,195739,1010,rv,,rv,,3/28/24 15:15,,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-3.25.2024-1.pdf,,,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,IND,Kennedy,31042,Robert F. Kennedy,14.0,865621
